State;DR;Bachelors;Advanced
Alabama;R;24.5;9.1
Alaska;R;29;10.4
Arizona;D;28.4;10.7
Arkansas;R;22;7.9
California;D;32.6;12.2
Colorado;D;39.4;14.6
Connecticut;D;38.4;17
D.C.;D;56.6;32.8
Delaware;D;31;12.9
Florida;R;28.5;10.3
Georgia;D;29.9;11.4
Hawaii;D;32;10.8
Idaho;R;26.8;8.5
Illinois;D;33.4;13
Indiana;R;25.3;9.2
Iowa;R;27.7;9
Kansas;R;32.3;11.7
Kentucky;R;23.2;9.6
Louisiana;R;23.4;8.1
Maine;D;30.3;10.9
Maryland;D;39;18
Massachusetts;D;42.1;18.7
Michigan;D;28.1;11
Minnesota;D;34.8;11.8
Mississippi;R;21.3;8
Missouri;R;28.2;10.7
Montana;R;30.7;10.1
Nebraska;R;30.6;10.2
Nevada;D;23.7;8.1
New Hampshire;D;36;13.8
New Jersey;D;38.1;14.7
New Mexico;D;26.9;11.8
New York;D;35.3;15.4
North Carolina;R;29.9;10.6
North Dakota;R;28.9;7.8
Ohio;R;27.2;10.2
Oklahoma;R;24.8;8.3
Oregon;D;32.3;12.2
Pennsylvania;D;30.1;11.8
Rhode Island;D;33;13.1
South Carolina;R;27;9.8
South Dakota;R;27.8;8.3
Tennessee;R;26.1;9.6
Texas;R;28.7;9.9
Utah;R;32.5;11
Vermont;D;36.8;15
Virginia;D;37.6;16.1
Washington;D;34.5;12.7
West Virginia;R;19.9;7.9
Wisconsin;D;29;9.9
Wyoming;R;26.7;9.3
